Year,Title,Studio
1944,Captain America,Republic Pictures
1951,Superman and the Mole Men,Lippert Pictures
1954,Stamp Day for Superman,United States Department of the Treasury
1966,Batman,20th Century Fox
1978,Superman,Dovemead Film Export A.G. / International Film Productions
1980,Superman II,Dovemead Film Export A.G. / International Film Productions
1982,Swamp Thing,Embassy Pictures
1983,Superman III,Canthatus Productions N.V. / Dovemead Films
1984,Supergirl,Artistry Ltd / Cantharus Productions / Pueblo Film Group
1986,Howard the Duck,Universal Studios
1987,Superman IV: The Quest for Peace,Golan-Globus / Cannon Films
1989,The Punisher,New World Pictures
1989,The Return of Swamp Thing,Lightyear Entertainment
1989,Batman,Warner Bros. / PolyGram Filmed Entertainment
1990,Captain America,21st Century Film Corporation
1992,Batman Returns,Warner Bros. / PolyGram Filmed Entertainment
1994,The Fantastic Four,New Horizons
1995,Batman Forever,Warner Bros. / PolyGram Filmed Entertainment
1997,Batman & Robin,Warner Bros. / PolyGram Filmed Entertainment
1997,Steel,Warner Bros. / DC Entertainment / QDe
1998,Blade,New Line Cinema & Marvel Studios
2000,X-Men,20th Century Fox & Marvel Studios
2002,Blade II,New Line Cinema & Marvel Studios
2002,Spider-Man,Columbia Pictures & Marvel Studios
2003,Daredevil,20th Century Fox & Marvel Studios
2003,X2: X-Men United,20th Century Fox & Marvel Studios
2003,Hulk,Universal Studios & Marvel Studios
2004,The Punisher,Lions Gate Entertainment & Marvel Studios
2004,Spider-Man 2,Columbia Pictures & Marvel Studios
2004,Blade: Trinity,New Line Cinema & Marvel Studios
2004,Catwoman,Warner Bros. / Village Roadshow Pictures / Di Novi Pictures / Frantic Films / Maple Shade Films
2005,Elektra,20th Century Fox & Marvel Studios
2005,Man-Thing,Lions Gate Entertainment
2005,Fantastic Four,20th Century Fox & Marvel Studios
2005,Constantine,Warner Bros. / Village Roadshow Pictures / The Donners' Company / Batfilm Productions / 3 Arts Entertainment
2005,Batman Begins,Warner Bros. / DC Entertainment / Legendary Pictures / Syncopy Inc. / Patalex III Productions
2006,X-Men: The Last Stand,20th Century Fox & Marvel Studios
2006,Superman Returns,Warner Bros. / DC Entertainment / Legendary Pictures / Bad Hat Harry Productions
2006,Superman II: The Richard Donner Cut,
2007,Ghost Rider,Columbia Pictures & Marvel Studios
2007,Spider-Man 3,Columbia Pictures & Marvel Studios
2007,Fantastic Four: Rise of the Silver Surfer,20th Century Fox & Marvel Studios
2008,Iron Man,Marvel Studios
2008,The Incredible Hulk,Marvel Studios
2008,Punisher: War Zone,Lions Gate Entertainment & Marvel Studios
2008,The Dark Knight,Warner Bros. / DC Entertainment / Legendary Pictures / Syncopy Inc.
2009,X-Men Origins: Wolverine,20th Century Fox & Marvel Studios
2009,Watchmen,Warner Bros. / Paramount Pictures / DC Entertainment / Legendary Pictures / Lawrence Gordon Productions / Cruel and Unusual Films
2010,Iron Man 2,Marvel Studios
2010,Jonah Hex,Warner Bros. / DC Entertainment / Legendary Pictures / Weed Road Pictures
2010,The Losers,
2011,Thor,Marvel Studios
2011,X-Men: First Class,20th Century Fox
2011,Captain America: The First Avenger,Marvel Studios
2011,Green Lantern,Warner Bros. / DC Entertainment / De Line Pictures
2012,Ghost Rider: Spirit of Vengeance,Marvel Studios
2012,The Avengers (2012),Marvel Studios
2012,The Amazing Spider-Man,Sony Pictures Entertainment & Marvel Studios
2012,The Dark Knight Rises,Warner Bros. / DC Entertainment / Legendary Pictures / Syncopy Inc.
2013,Iron Man 3,Marvel Studios
2013,The Wolverine,20th Century Fox
2013,Thor: The Dark World,Marvel Studios
2013,Man of Steel,Warner Bros. / DC Entertainment / Legendary Pictures / Cruel and Unusual Films / Syncopy Inc.
2014,Captain America: The Winter Soldier,Marvel Studios
2014,Guardians of the Galaxy,Marvel Studios
2014,The Amazing Spider-Man 2,Columbia Pictures
2014,X-Men: Days of Future Past,20th Century Fox
2015,Avengers: Age of Ultron,Marvel Studios
2015,Fantastic Four,20th Century Fox
2015,Ant-Man,Marvel Studios
2016,Deadpool,20th Century Fox
2016,Captain America: Civil War,Marvel Studios
2016,X-Men: Apocalypse,20th Century Fox
2016,Doctor Strange,Marvel Studios
2016,Batman v Superman: Dawn of Justice,Warner Bros. / DC Entertainment / RatPac Entertainment / Cruel and Unusual Films / Atlas Entertainment
2016,Suicide Squad,Warner Bros. / DC Entertainment / RatPac Entertainment / Atlas Entertainment
2017,Logan,20th Century Fox
2017,Guardians of the Galaxy Vol. 2,Marvel Studios
2017,Spider-Man: Homecoming,Marvel Studios & Sony
2017,Thor: Ragnarok,Marvel Studios
2017,Wonder Woman,Warner Bros. / DC Films / RatPac Entertainment / Atlas Entertainment / Cruel and Unusual Films / Tencent Pictures / Wanda Media
2017,Justice League,Warner Bros. / DC Films / RatPac Entertainment / Atlas Entertainment / Cruel and Unusual Films
2018,Black Panther,Marvel Studios
2018,Avengers: Infinity War,Marvel Studios
2018,Deadpool 2,20th Century Fox
2018,Ant-Man and the Wasp,Marvel Studios
2018,Venom,Sony Pictures Entertainment
2018,Aquaman,Warner Bros. / DC Films / The Safran Company / Cruel and Unusual Films / Mad Ghost Productions
2019,Captain Marvel,Marvel Studios
2019,Avengers: Endgame,Marvel Studios
2019,X-Men: Dark Phoenix,20th Century Fox
2019,Spider-Man: Far From Home,Marvel Studios
2019,Shazam!,Warner Bros. / DC Films / New Line Cinema / The Safran Company / Mad Ghost Productions
2019,Joker,Warner Bros. / DC Films / Village Roadshow Pictures / Bron Creative / Joint Effort Productions / Sikelia Productions
2020,The New Mutants,20th Century Fox
2020,Birds of Prey,Warner Bros. / DC Films / LuckyChap Entertainment / Kroll & Co. Entertainment / Clubhouse Pictures
2020,Wonder Woman 1984,Warner Bros. / DC Films / Atlas Entertainment / The Stone Quarry / Mad Ghost Productions
2021,Black Widow,Marvel Studios
2021,Shang-Chi and the Legend of the Ten Rings,Marvel Studios
2021,Zack Snyder's Justice League,Warner Bros. / DC Films / Atlas Entertainment / The Stone Quarry
2021,The Suicide Squad,Warner Bros. / DC Films / Atlas Entertainment / The Safran Company
